Title,Company,Working Place,Location,Post Date,Number of Positions,Applicants,Career Level,Education,Salary,Job Category,Skills,Job Description
Senior Accountant,Full Time,On-site,,Posted 2 months ago,371,1 open position,4 To 6 Years,Experienced (Non-Manager),Not Specified,3500 To 5000 SAR Per Month,Accounting/Finance,Accounting Accounting Software Financial Analysis Financial Management Finance Reporting ERP
Training Center Manager,Full Time,On-site,,Posted 6 days ago,16,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Males Preferred,Marketing/PR/Advertising,Business Administration Technical Training training center management
Motion Graphics Designer,Full Time,On-site,,Posted 29 days ago,35,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,Adobe After Effects Motion Graphics Motion VFX graphics 2D 3D compositing After Effects adobe Adobe illustrator Adobe Photoshop Advertising Design Graphic Design JavaScript
Account Sales,Full Time,Remote,,Posted 1 month ago,49,1 open position,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commission In Dollars",Business Development,Sales sales skills Sales Target Customer Service Communication Experience
Senior Compliance Officer,Full Time,On-site,,Posted 25 days ago,30,1 open position,5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Annual Bonus Life Insurance Medical Insurance",Administration,Compliance Law
Stock Controller supervisor,Full Time,On-site,,Posted 12 days ago,38,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,inventory Inventory Management Stock Stock Control Stock controller Supply Chain Logistics English
Senior IT Business Analyst,Full Time,Hybrid,N/A,Posted 2 months ago,79,1 open position,4 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,Business Analysis Information Technology (IT) Computer Science Analysis Software Business Development
Sales Manager,Full Time,On-site,N/A,Posted 16 days ago,40,1 open position,5 To 10 Years,Manager,Bachelor'S Degree,"Confidential, COMMESSIONS",Logistics/Supply Chain,Sales sales skills Sales Target Customer Service Sales Strategies
Arabic Instructor for foreign children students,Full Time,On-site,,Posted 2 months ago,50,5 open positions,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Training/Instructor,Education Instructor
Electrical Technician - Automotive - KSA,Full Time,On-site,,Posted 2 months ago,23,1 open position,3 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Mechanical/Electrical,Maintenance Repair technician
Product Manager,Full Time,On-site,,Posted 12 days ago,17,1 open position,5 To 15 Years,Manager,Bachelor'S Degree,Confidential,Manufacturing/Production,Product Product Management product manager Marketing MBA Communication business analytical Sales Skills
Office Manager,Full Time,On-site,,Posted 25 days ago,68,1 open position,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,"4000 To 7000 EGP Per Month, + Incentives",Administration,Administration Management Microsoft Office Office management Secretary office
Graphic Designer,Full Time,On-site,,Posted 2 months ago,80,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,8 To 10 EGP Per Month,Creative/Design/Art,Adobe illustrator Adobe Photoshop Arts Design dreamweaver Fine Arts Graphic Graphic Design illustrator indesign photoshop Software
Growth Marketing Manager,Full Time,Hybrid,,Posted 1 month ago,72,1 open position,5 To 10 Years,Manager,Bachelor'S Degree,"Confidential, Salary Is In US $",Marketing/PR/Advertising,Communication Branding Marketing Marketing Strategy Planning Marketing Campaigns Social Media Market Research media
Telesales Agent,Full Time,On-site,,Posted 2 months ago,9,1 open position,1 To 2 Years,Experienced (Non-Manager),Not Specified,"6000 To 7000 EGP Per Month, Commission",Customer Service/Support,Sales sales skills Telesales Customer Service Communication Arabic Skills
Software Support Engineer,Full Time,On-site,N/A,Posted 1 month ago,52,3 open positions,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,Computer Science Information Technology (IT)
Senior OD Specialist,Full Time,On-site,,Posted 5 days ago,Be the First to Apply,N/A,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,HR Performance Management Organizational Development
MS Dynamics Functional Consultant F&O,Full Time,On-site,,Posted 8 days ago,8,2 open positions,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Dynamics 365 f&o Information Technology (IT) Microsoft dynamics 365 Microsoft Dynamics
Internal Auditor,Full Time,On-site,,Posted 1 month ago,72,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Audit Compliance Finance Financial Analysis Planning Internal Controls Procedures Financial Auditing Accounting
Office Manager - Giza,Full Time,On-site,,Posted 1 month ago,334,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Administration,Microsoft Office Administration Office Management English Admin Admin Work administrative computer Computer Skills excel Microsoft Microsoft Word Secretary Skills word
"General, Tax and Bank Accountants",Full Time,On-site,N/A,Posted 22 days ago,124,1 open position,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting English ERP ERP System Finance Financial Analysis Microsoft Office accountant
Mechanical Maintenance Engineer,Full Time,On-site,,Posted 4 days ago,460,26 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Annual Bonus Job Nature Allowance Service Capabilities Development Program Global Mobility Program",Engineering - Mechanical/Electrical,Maintenance Mechanical Engineering Mechanical Engineering Process Mechanical Maintenance Engineering Services
Engineer Maintenance - Mobiles,Full Time,On-site,,Posted 24 days ago,18,5 open positions,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Customer Service/Support,Communication quality Skills technical Maintenance Engineering
Service Administrator,Full Time,On-site,,Posted 1 month ago,48,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Administration,administrative Administration Assistant Customer Care Customer Service MS Office office Office management Management Customer Support Communication
Senior Regulatory Affairs Specialist,Full Time,On-site,,Posted 1 month ago,74,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Medical/Healthcare,Pharmaceutical Pharmacy regulatory Regulatory Affairs
Sales Coordinator,Full Time,On-site,,Posted 22 days ago,40,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Females Preferred,Administration,Administration Business Administration Sales coordinator Coordinator sales skills Sales Customer Service Communication
Accountant,Full Time,On-site,,Posted 3 days ago,104,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting Microsoft Excel Finance Financial Analysis Financial Management English
HR Specialist Recruitment & OD,Full Time,On-site,,Posted 1 month ago,112,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,9000 To 11000 EGP Per Month,Human Resources,Business Administration Human Resources (HR) Organizational Development Recruitment Microsoft Office Communication Communication skills Human Resources HR
Sales Representative – ERP Systems,Full Time,On-site,,Posted 14 days ago,48,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Sales/Retail,sales skills Sales Sales Target Communication Negotiation ERP
Financial Director,Full Time,On-site,,Posted 1 month ago,200,1 open position,8 To 15 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Accounting/Finance,Financial Management Financial Analysis
QC Manager,Full Time,On-site,,Posted 2 months ago,45,1 open position,15 To 18 Years,Manager,Not Specified,Confidential,Engineering - Construction/Civil/Architecture,Quality Control Engineering ISO 9001 QC Quality Assurance
Senior Talent Acquisition Specialist,Full Time,On-site,,Posted 9 days ago,36,1 open position,4 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Quarter Bonus",Human Resources,Talent acquisition Talent assessment Applicant Tracking Systems Recruitment Interviewing Hiring Assessment
Senior Frontend Developer- Angular,Full Time,On-site,,Posted 2 months ago,44,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Computer Science Information Technology (IT) javaScript CSS CSS3 Software Development Angular2+ Angular Sass UI Development OOP REST APIs SEO front-end HTML5
Community Associate,Full Time,On-site,,Posted 1 month ago,14,3 open positions,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"7000 To 9000 EGP Per Month, Commissions And Bonus",Administration,Customer Service Administration Communication Communication skills Sales sales skills MS Office MS English
Social Media Specialist,Full Time,On-site,,Posted 8 days ago,30,1 open position,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,Digital E-Marketing digital media Design media Online Marketing Social Media
Trade Marketing Manager,Full Time,On-site,,Posted 15 days ago,38,1 open position,5 To 7 Years,Manager,Bachelor'S Degree,Confidential,Marketing/PR/Advertising,Communication Communication skills Market Research Marketing Management FMCG Retail Social Media Trade marketing Sales
Pharmacist,Full Time,On-site,,Posted 1 month ago,90,10 open positions,0 To 1 Year,Experienced (Non-Manager),Bachelor'S Degree,Female,Administration,Agent Client Experience Customer Experience Customer Support Customer Service Communication Pharmaceutical Pharmacy Medical Sales
Tele Sales Representative for Accounting Services,Full Time,On-site,,Posted 2 days ago,6,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,Accounting Communication skills Sales Sales Target Skills Customer Service Communication sales skills
Senior Accountant,Full Time,On-site,N/A,Posted 2 months ago,146,1 open position,2 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Finance Financial Analysis Reporting Accounting Financial Management English Commerce Microsoft Office
Warehouse Specialist,Full Time,On-site,,Posted 25 days ago,42,3 open positions,1 To 4 Years,Experienced (Non-Manager),Not Specified,Male,Accounting/Finance,Logistics Medical store Store Keeping Supply Chain Warehousing Logistics Operations supply chain Warehouse Management Warehouse
Mobile Maintenance Technician (Cairo & Giza ),Full Time,On-site,,Posted 25 days ago,6,5 open positions,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,Software Development Troubleshooting Installation Mobile Maintenance Maintenance
Technical Office Engineer,Full Time,On-site,N/A,Posted 17 days ago,58,5 open positions,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Engineering - Construction/Civil/Architecture,AutoCAD Revit Revit MEP Revit Architecture Engineering Services Technical Office Engineering Document Management
Trade Marketing Specialist (Alminya),Full Time,On-site,,Posted 1 month ago,10,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Marketing/PR/Advertising,Microsoft Office Trade Marketing Marketing Sales Skills Sales Communication Skills
Software Developer (Computer Vision AI-Based Applications),Full Time,Remote,N/A,Posted 2 months ago,87,4 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Information Technology (IT) Computer Science Engineering Computer Engineering Software Development Software Engineering Python Software Architecture Machine Learning Linux MacOS iOS Development c/c++ devleopment
Sales Associate,Full Time,On-site,,Posted 19 days ago,99,2 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,8000 To 15000 EGP Per Month,Sales/Retail,Retail Sales sales skills Customer Service Communication Games console games
Sales Teamleader,Full Time,On-site,,Posted 20 days ago,13,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"10000 To 20000 EGP Per Month, 2% Commission",Business Development,B2B Communication skills Sales sales skills Sales Target English Education Marketing Advertising Skills Communication Customer Service
Head of Mechanical Technical Office,Full Time,On-site,,Posted 30 days ago,24,1 open position,8 To 10 Years,"Senior Management (CEO, GM, Director, Head)",Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,Auto cad Mechanical Engineering HAP Elite Microsoft Office AutoCAD Design Engineering Fire Protection HVAC Mechanical Plumbing technical Technical Office
Architect Technical Office Engineer,Full Time,On-site,,Posted 10 days ago,60,2 open positions,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,Engineering Architectural Engineering Architecture Technical Office Engineering BOQ Finishing concrete Technical Office shop drawing AutoCAD Drawing Projects Commercial Revit Architecture AutoCAD Architecture
Senior Sales Executive (Golf Cart Showroom),Full Time,On-site,,Posted 27 days ago,12,4 open positions,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Sales Commission",Sales/Retail,Automotive Sales Communication Communication skills Negotiation sales skills Sales Target
Cashier - Kafr Alsheikh,Full Time,On-site,,Posted 5 days ago,Be the First to Apply,N/A,3 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,Cashier Accounting Finance Financial Analysis Finance Management
Copywriter,Full Time,On-site,,Posted 1 month ago,42,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Writing/Editorial,Content copywriter Editing English journalism Marketing media Proofreading Research SEO Social Media Writing Copywriting
Sales Engineer,Full Time,On-site,,Posted 11 days ago,44,5 open positions,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Male,Sales/Retail,Retail KitchenDraw Sketchup Furniture Sales Decoration Sales Engineering 3ds Max Interior Design Communication Engineering Kitchen Sales Design sales skills Sales Target Service
Senior Talent acquisition Real Estate,Full Time,On-site,N/A,Posted 2 months ago,90,1 open position,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,OD Human Resources Human Resources (HR) Real Estate HR Microsoft Office excel Talent management Organization Development Organizational Planning Learning Management Systems Performance Management System Learning Management System
IT Administrator,Full Time,On-site,,Posted 23 days ago,87,1 open position,More Than 2 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,Computer Science Information Technology (IT)
Senior Production Engineer (Automotive ),Full Time,On-site,,Posted 12 days ago,34,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,Manufacturing Production CNC Machines Automotive Spare Parts
HSE Technician,Full Time,On-site,,Posted 11 days ago,13,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Other,"HSE Health, Safety and Environment"
Telesales Representative,Full Time,Remote,,Posted 1 month ago,30,2 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"400 To 600 USD Per Month, - Commission - Bonus - Competitions - 100% Remote - Salary Is NET",Business Development,Telesales Sales Telesales representative Customer Service negotiation skills sales skills computer
Call Center Agent - English Account,Full Time,On-site,,Posted 2 months ago,50,20 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,11000 To 14000 EGP Per Month,Customer Service/Support,Call Center Customer Care Call center agent Customer Support Customer Service Communication Customer English Problem Solving Business English Customer Relations Customer Satisfaction
Outbound agent,Full Time,Remote,,Posted 26 days ago,50,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,"Confidential, Bonus, Mobile Allowance",Customer Service/Support,Customer Care Customer Service Customer Support English Outbound Sales
 Human resources specialist,Full Time,On-site,,Posted 2 months ago,75,1 open position,1 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Law Legislation Microsoft Office Personnel Recruitment Human Resources (HR)
Tax Accountant,Full Time,On-site,N/A,Posted 18 days ago,45,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,accountant Accounting Accounting Software CMA CPA excel Finance Software tax accountant Financial Analysis
Export Logistics Specialist,Full Time,On-site,,Posted 1 month ago,62,1 open position,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Logistics/Supply Chain,Communication business Customs English Export Logistics Management Negotiation Supply Supply Chain
Microsoft Dynamics Functional Consultant,Full Time,On-site,N/A,Posted 1 month ago,19,1 open position,4 To 5 Years,Experienced (Non-Manager),Not Specified,"Confidential, Quarter Bonus",IT/Software Development,Microsoft Dynamics Dynamics ERP Implementation Dynamics 365 Functional consultant Computer Science CRM Dynamics
Real Estate Senior Sales,Full Time,On-site,,Posted 29 days ago,9,2 open positions,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Commission And Bonus",Sales/Retail,Sales Real Estate Sales Real Estate Negotiation CRM Marketing Communication Sales Target business Microsoft Office sales skills
Senior Export Sales Manager - Fresh and Dry Food,Full Time,On-site,,Posted 7 days ago,21,2 open positions,3 To 15 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Operations/Management,Sales Planning Sales Management Market Analysis Export Sales Management Communication Customer Service English CRM ERP sales skills Sales Target Logistics Export Fresh and Dry Food Expertise International Trade Regulations business Sales Marketing
Customer Support Representative,Full Time,On-site,,Posted 1 month ago,65,8 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Customer Service/Support,CRM Communication CRM Systems CS Customer Customer Care Customer Service Customer Support Help desk Software Sales Support
Sales Setter - Remote (US/Canada Market),Full Time,Remote,,Posted 1 month ago,34,3 open positions,1 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Sales/Retail,Sales coldcaller outboundsales
Business Development Specialist,Full Time,On-site,,Posted 23 days ago,57,1 open position,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Business Development,Sales Skills ERP CRM Microsoft Excel Microsoft Office Suite Business Development Management (BDM) Self-motivated HR Systems Presentation Skills
Architect,Full Time,Remote,,Posted 14 days ago,34,1 open position,10 To 15 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,Architectural Design Architecture Interior Design 3D 3d max Design AutoCAD Creative Graphic Social Media Adobe Photoshop Adobe illustrator
SAP FICO Consultant (Finacial & Control),Full Time,On-site,,Posted 2 months ago,19,1 open position,3 To 8 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,Analysis Accounting Business Administration FICO Finance Financial Information Technology (IT) SAP FICO SAP CPA Computer Science English
Junior ASP.NET Web Developer 24002,Full Time,Hybrid,,Posted 1 month ago,335,3 open positions,1 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,C# ASP.NET SQL .NET MVC Angular Computer Science Information Technology (IT) Microsoft SQL Server CSS HTML jQuery ADO.NET Software Development
HR Manager,Full Time,On-site,,Posted 2 months ago,157,1 open position,5 To 7 Years,Manager,Not Specified,Confidential,Human Resources,Human Resources (HR) Recruitment
Site Architect,Full Time,On-site,,Posted 2 days ago,30,3 open positions,4 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,Architecture Architecture Engineering AutoCAD Drawings Revit technical Engineering
Roads Design Engineer,Full Time,On-site,,Posted 23 days ago,26,3 open positions,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,AutoCAD Design Revit
HR Generalist,Full Time,On-site,,Posted 11 days ago,121,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,Human Resources (HR) HR HR Policies Human Resources Personnel Recruitment Payroll
Production Engineer (Frozen Fruits & Vegetables),Full Time,On-site,,Posted 23 days ago,66,1 open position,3 To 12 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Manufacturing/Production,Food Food industry Production Food Science Food Engineering Production Engineering Industrial Leadership Engineering Industrial Engineering English Manufacturing Logistics
AI/ML Developer Senior Supervisor,Full Time,On-site,,Posted 1 month ago,Be the First to Apply,N/A,7 Years,Manager,Bachelor'S Degree,Confidential,Engineering - Telecom/Technology,Computer Science Engineering LLMs Python AI ML
Call Center Agent - B1+ English Speakers/ Corporate account,Full Time,On-site,,Posted 23 days ago,45,1 open position,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"9000 To 12500 EGP Per Month, Unlimited Commissions",Customer Service/Support,English Benefits excel Excellent english Excellent Insurance Microsoft Excel Medical social TO Customer Service Customer Care Customer Support Customer Relations Experiance Sales Skills Medical Sales Social Media Sales Call Center Customer Service Agent                                        
Production Manager,Full Time,On-site,,Posted 19 days ago,25,3 open positions,7 To 10 Years,Manager,Not Specified,"Confidential, A Competitive Salary And Benefits Package. The Opportunity To Work In A Dynamic And Growing Company. A Supportive And Collaborative Work Environment.",Manufacturing/Production,Engineering Management Production Management Production Planning Manufacturing Leadership Food Production
Creative Conceptualizer,Full Time,On-site,N/A,Posted 1 month ago,20,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,Adobe illustrator Adobe Photoshop Adobe Indesign Conceptualization Graphic Design Design Layout color
Technical Office Engineer - Construction Chemicals,Full Time,On-site,,Posted 1 month ago,27,2 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,Technical Office Engineering Civil Engineering Construction Architecture Chemical Construction
Store Keeper,Full Time,On-site,,Posted 1 month ago,73,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Administration,Logistics store store keeper Store Keeping Supply Chain Warehousing
Senior Digital Marketing Specialist,Full Time,On-site,,Posted 2 days ago,Be the First to Apply,N/A,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,B2B B2B Marketing buying Digital Digital Marketing digital marketing E-Marketing Marketing media Media Buying SEO Social Media Skills
BIM Mechanical Engineer,Full Time,On-site,,Posted 2 months ago,35,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Attractive Salary Paid In USD",Engineering - Mechanical/Electrical,AutoCAD Design BIM Mechanical Engineering Revit MEP Engineering Maintenance Management Mechanical Project Management
Quality Engineer,Full Time,On-site,,Posted 2 months ago,153,1 open position,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Male,IT/Software Development,Analytical Skills Communication Communication skills Electronics Engineering Management quality Quality Assurance Quality Control Quality Management Science Six Sigma
Sales Admin,Full Time,Hybrid,,Posted 1 month ago,7,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Administration,Communication CCTV Customer Service English Experience Sales sales skills
Junior QA Specialist,Full Time,Remote,,Posted 2 months ago,304,1 open position,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Not Specified,"300 To 600 USD Per Month, Salary Is Mentioned In The NET Value",IT/Software Development,Quality Assurance Ecommerce Web Development ISTQB QA
Operation Director / Logistics,Full Time,On-site,,Posted 1 month ago,69,1 open position,3 To 7 Years,Manager,Not Specified,Confidential,Operations/Management,Management Marketing MS Office Operations Sales
N/A,N/A,N/A,N/A,"Employers and Recruiters, go to our",N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Export Sales Manager,Full Time,On-site,N/A,Posted 2 months ago,22,1 open position,3 To 5 Years,Manager,Not Specified,"Confidential, Commission",Sales/Retail,Sales Management Business Administration sales skills Management Marketing Export FMCG
Supply Chain Officer,Full Time,On-site,,Posted 9 days ago,120,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,SAP Procurement Supply Chain supply chain management Pharmaceutical Supply Purchasing Logistics ERP local raw material packging material local purchase active material non-active material EDA Customs Clearance supplier
Senior HR Specialist,Full Time,On-site,,Posted 29 days ago,229,5 open positions,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,Human Resources Communication skills Human Resources (HR) Microsoft Office
Part-time English Instructor - Alexandria (Charters),Part Time,On-site,,Posted 1 month ago,14,5 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Education/Teaching,Languages Linguistics Training Translation Instructor Education IQP Teaching Microsoft Office Communication Skills Computer Skills
Customer Support Representative,Full Time,On-site,,Posted 22 days ago,20,2 open positions,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Customer Service/Support,Customer Care Customer Support Communication skills Customer Service Management Sales
Media Buyer,Full Time,On-site,,Posted 29 days ago,15,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,15000 To 20000 EGP Per Month,Marketing/PR/Advertising,Digital Marketing digital marketing Marketing Media Buyer Social Media SEO Google Ads Online Ads Facebook ads Budgeting Budget Management A/B Testing Advertising Buyer Communication comscore Digital digital media media Planning
Customer Accounts Manager (Freight Forwarding),Full Time,On-site,,Posted 1 month ago,64,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Quarter Bonus, Private Medical Insurance",Customer Service/Support,Logistics Management MS Office Customer Service Customer Support Leadership Planning CRM Communication Computer Skills Communication skills
IT Technical Support,Full Time,On-site,,Posted 1 month ago,189,1 open position,4 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,Installation Technical Support Information Technology (IT) Computer Science Windows IT Linux technical
Graphic Designer,Full Time,On-site,N/A,Posted 2 months ago,43,3 open positions,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,Design Adobe Illustrator Graphic Design Adobe Photoshop Adobe InDesign Printing & Coloring Advertising graphic designer E-Learning learning
Localization Section Head,Full Time,On-site,,Posted 1 month ago,27,1 open position,10 To 15 Years,Experienced (Non-Manager),Not Specified,"Confidential, Medical Insurance - Life Insurance - Incentive Monthly - Profit Share - Reward Of Occasions - Transportation",Quality,Automotive Analysis Engineering Industrial Mechanical Engineering Localization Cost Quality Management
Quality Control Engineer,Full Time,On-site,,Posted 3 days ago,67,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,"Confidential, Transportation, Social Insurance",Manufacturing/Production,Engineering Industrial Industrial Engineering ISO 9001 Manufacturing Metal Production quality Sheet Metal Quality Management Six Sigma Quality Control Mechanical Engineering
SR. Outbound Hotel Reservation Agent (Africa Focus),Full Time,On-site,,Posted 16 days ago,13,2 open positions,7 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,Communication skills Booking Customer Support hotel hotel reservations Outbound Tourism Customer Care Customer Service Reservation reservations Travel
Quality Control Section Head,Full Time,On-site,,Posted 2 months ago,105,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Manufacturing/Production,industrial engineering Engineering Control quality Quality Control Manufacturing Industry Manufacturing Process Manufacturing Mechanical Engineering Chemical Engineering Chemical Analysis
Telesales Representative,Full Time,On-site,,Posted 25 days ago,9,1 open position,More Than 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Customer Service/Support,Communication Microsoft Office Sales sales skills Skills Software Telesales Training Customer Service CRM
Senior Marketing Performance Specialist,Full Time,On-site,,Posted 1 month ago,6,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,Marketing buying Buyer Digital Marketing digital media Media Buyer Social Media Planning Google Analytics E-Marketing digital marketing Communication Analysis Performance Performance Marketing SEM SEO Management
Property Consultant – Zayed Branch,Full Time,On-site,,Posted 10 days ago,6,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Sales/Retail,CRM Real Estate Real Estate Sales sales skills Sales Target Sales Communication
Sales Key Account Manager,Full Time,On-site,,Posted 2 months ago,95,1 open position,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Medical Insurance , Profit Share",Customer Service/Support,Sales Sales Skills Sales Target Customer Service Negotiation English Communication Microsoft Office Negotiation Skills Management Skills Industry
HVAC Engineer,Full Time,On-site,,Posted 2 months ago,16,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Confidential, Point Based Transportation + Medical & Social Insurance",Engineering - Mechanical/Electrical,Electrical Electrical Engineering HVAC Engineering
Secretary,Full Time,On-site,,Posted 2 months ago,72,1 open position,3 To 5 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Administration,Administration administrative Assistant Communication Communication skills excel Microsoft Office office Office management Secretary word Management
